example_id,annotator,batch_id,context,query,gold,baselines_results,is_ill_defined,knowledge_level
1-4330_cca3fb24-9267-4e27-941e-55040f509ca5,annotator1,9c3d1f24-69f6-40b5-8128-3d1b9c13aa51,"There is a growing concern about distinguishing between LLM-generated and human-written texts to prevent misuse, such as the dissemination of misleading information and academic dishonesty. Previous research has primarily focused on classifying text as either entirely human-written or LLM-generated, neglecting the detection of mixed texts that contain both types of content.","In this context, what would be a good source of inspiration for **Distinguishing between llm-generated and human-written texts**?",a token classification problem,"{""ours"": {""suggestion"": ""recent works on machine-generated text detection"", ""k"": ""1"", ""rank"": 3}, ""gpt-4o"": {""suggestion"": ""stylometry techniques"", ""k"": ""1"", ""rank"": 1}, ""random"": {""suggestion"": ""Adversarial attacks against language models(LMs)"", ""k"": ""1"", ""rank"": 4}, ""sciIE"": {""suggestion"": ""LLM's textual representation counterparts"", ""k"": ""1"", ""rank"": 5}, ""mpnet_zero"": {""suggestion"": ""an LLM that effectively processes textual information"", ""k"": ""1"", ""rank"": 6}, ""positive"": {""suggestion"": ""a token classification problem"", ""k"": ""1"", ""rank"": 2}}",,4
1-41666_89a913b3-9f44-4ee4-80d9-4861ab8d754d,annotator1,9c3d1f24-69f6-40b5-8128-3d1b9c13aa51,"The study addresses the challenge of effectively generating AI research leaderboards by extracting specific quadruples from scholarly articles, highlighting the limitations of traditional approaches that rely on predefined taxonomies. It emphasizes the need for improved context selection to enhance the accuracy of large language models and reduce the occurrence of hallucinations in information extraction tasks.","In this context, what would be a good source of inspiration for **The extraction of (task, dataset, metric, score) quadruples from scholarly articles**?",a text generation objective,"{""positive"": {""suggestion"": ""a text generation objective"", ""k"": ""1"", ""rank"": 2}, ""sciIE"": {""suggestion"": ""information extraction tasks"", ""k"": ""1"", ""rank"": 4}, ""random"": {""suggestion"": ""parallel distributed compensation"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""knowledge graph construction techniques"", ""k"": ""1"", ""rank"": 1}, ""ours"": {""suggestion"": ""a standard question-answering task"", ""k"": ""1"", ""rank"": 3}, ""mpnet_zero"": {""suggestion"": ""for the Automatic Term Extraction and Classification (ATE) and Classification) tasks"", ""k"": ""1"", ""rank"": 5}}",,4
1-2288_347a15a9-1b5a-49bf-92a8-a2b9d4cee10d,annotator1,9c3d1f24-69f6-40b5-8128-3d1b9c13aa51,"The abstract highlights issues of inconsistent conceptualization and vague expression in existing NLG quality criteria, which reduce the reliability of LLM evaluations. Additionally, it points out the confusion inherent in LLMs regarding different evaluation criteria, indicating a need for further research and improvements in LLM-based evaluation methods.","In this context, what would be a good source of inspiration for **Nlg evaluation**?",behavioral testing,"{""gpt-4o"": {""suggestion"": ""human linguistic judgment"", ""k"": ""1"", ""rank"": 3}, ""ours"": {""suggestion"": ""human evaluation"", ""k"": ""1"", ""rank"": 1}, ""sciIE"": {""suggestion"": ""LLM-based automatic evaluation metric"", ""k"": ""1"", ""rank"": 4}, ""random"": {""suggestion"": ""implicit feature embeddings"", ""k"": ""1"", ""rank"": 5}, ""mpnet_zero"": {""suggestion"": ""evaluating the quality of text generated by generative Large Language Models(LLMs)"", ""k"": ""1"", ""rank"": 6}, ""positive"": {""suggestion"": ""behavioral testing"", ""k"": ""1"", ""rank"": 2}}",,2
1-22772_2fef663b-19c1-4b0d-b271-d94b993740b1,annotator1,9c3d1f24-69f6-40b5-8128-3d1b9c13aa51,The alignment and coverage of LLM-based evaluations are often limited by the scope and potential bias of the evaluation prompts and criteria. This challenge necessitates a more comprehensive approach to align LLM-based evaluators with human preferences effectively.,"In this context, what would be a good source of inspiration for **Large language models**?",the evaluation mindset of human experts,"{""random"": {""suggestion"": ""Argumentative Components and their corresponding Argumentative Relations (Argumentative Relations)"", ""k"": ""1"", ""rank"": 1}, ""sciIE"": {""suggestion"": ""cross-lingual capabilities of LLMs"", ""k"": ""1"", ""rank"": 2}, ""gpt-4o"": {""suggestion"": ""human cognitive processes"", ""k"": ""1"", ""rank"": 3}, ""mpnet_zero"": {""suggestion"": ""evaluation of large language models"", ""k"": ""1"", ""rank"": 4}, ""ours"": {""suggestion"": ""aligning Large Language Models with human preferences"", ""k"": ""1"", ""rank"": 5}, ""positive"": {""suggestion"": ""the evaluation mindset of human experts"", ""k"": ""1"", ""rank"": 6}}",checked,3
1-5953_75b9e640-b5b5-4843-b993-87357fa3b599,annotator1,9c3d1f24-69f6-40b5-8128-3d1b9c13aa51,Existing large language models (LLMs) underperform in legal judgment prediction due to challenges in understanding case complexities and distinguishing between similar charges. This highlights a need for improved methodologies that can effectively address these issues to enhance judicial efficiency.,"In this context, what would be a good source of inspiration for **Legal judgment prediction**?",human judicial reasoning,"{""sciIE"": {""suggestion"": ""large-scale legal knowledge base"", ""k"": ""1"", ""rank"": 5}, ""mpnet_zero"": {""suggestion"": ""a multitask benchmark dataset for assessing the Arabic legal knowledge of Large Language Models"", ""k"": ""1"", ""rank"": 4}, ""gpt-4o"": {""suggestion"": ""case-based reasoning"", ""k"": ""1"", ""rank"": 2}, ""random"": {""suggestion"": ""Keyphrase Recommendation"", ""k"": ""1"", ""rank"": 6}, ""positive"": {""suggestion"": ""human judicial reasoning"", ""k"": ""1"", ""rank"": 3}, ""ours"": {""suggestion"": ""the Issue, Rule, Application, Conclusion (Issue, Rule, Application, Conclusion) framework, a sequential reasoning approach used by lawyers"", ""k"": ""1"", ""rank"": 1}}",,4
1-447_47f54a5c-2d5a-405b-817f-76d89fc256ae,annotator1,663acfb9-7c58-43e1-b0c6-7b5acca2b14d,"Existing RAG models often treat LLMs as passive recipients of information, which can lead to interference from noisy retrieved content. This approach can result in conflicts between external knowledge and parametric memory, highlighting the need for improved engagement and learning from retrieved evidence.","In this context, what would be a good source of inspiration for **Large language models**?",human learning behavior,"{""ours"": {""suggestion"": ""Anderson's ACT-R (Adaptive Control of Thought-Rational), a cognitive architecture modeling human information access and memory dynamics"", ""k"": ""1"", ""rank"": 1}, ""random"": {""suggestion"": ""a biomedical-specialized pre-trained language model"", ""k"": ""1"", ""rank"": 2}, ""positive"": {""suggestion"": ""human learning behavior"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""Large-Language model (LLM)"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""interactive learning systems"", ""k"": ""1"", ""rank"": 5}, ""mpnet_zero"": {""suggestion"": ""Large Language Models' knowledge recall mechanisms"", ""k"": ""1"", ""rank"": 4}}",,3
1-31947_b1f88262-1a96-403f-869a-81fc0a4265a7,annotator1,663acfb9-7c58-43e1-b0c6-7b5acca2b14d,"Large language models (LLMs) often struggle to provide up-to-date information due to their one-time training and the constantly evolving nature of the world. Existing approaches to keep LLMs current face difficulties in extracting stored knowledge, highlighting a need for improved methods of knowledge acquisition from raw documents.","In this context, what would be a good source of inspiration for **Improve an llm's ability to effectively acquire new knowledge from raw documents**?",the remarkable success of the Feynman Technique in efficient human learning,"{""gpt-4o"": {""suggestion"": ""neuroscience-inspired memory consolidation"", ""k"": ""1"", ""rank"": 4}, ""ours"": {""suggestion"": ""neuroscience, where the human brain often sheds outdated information to improve the retention of crucial knowledge and facilitate the acquisition of new information"", ""k"": ""1"", ""rank"": 1}, ""sciIE"": {""suggestion"": ""open-source large language models (LLMs)"", ""k"": ""1"", ""rank"": 5}, ""random"": {""suggestion"": ""large foundation models"", ""k"": ""1"", ""rank"": 6}, ""mpnet_zero"": {""suggestion"": ""the fusion between distribution of large language models knowledge and distribution of retrieved texts"", ""k"": ""1"", ""rank"": 3}, ""positive"": {""suggestion"": ""the remarkable success of the Feynman Technique in efficient human learning"", ""k"": ""1"", ""rank"": 2}}",,3
1-641_e3d9632c-90a7-45f0-a4dc-e89908811948,annotator1,663acfb9-7c58-43e1-b0c6-7b5acca2b14d,"Model attribution for LLM-generated disinformation is challenging due to the human-like quality of the disinformation produced and the diversity in prompting methods, which complicates accurate source attribution. An effective attribution model must be invariant to domain-specific features and proficient in identifying originating models across various scenarios, reflecting real-world detection challenges.","In this context, what would be a good source of inspiration for **Model attribution for llm-generated disinformation**?",a domain generalization problem,"{""ours"": {""suggestion"": ""the attribution task"", ""k"": ""1"", ""rank"": 4}, ""mpnet_zero"": {""suggestion"": ""independent disinformation generation characteristics of various large language models"", ""k"": ""1"", ""rank"": 3}, ""sciIE"": {""suggestion"": ""Detecting Misinformation by Integrating Intent featuRes (DM-INTER)"", ""k"": ""1"", ""rank"": 1}, ""positive"": {""suggestion"": ""a domain generalization problem"", ""k"": ""1"", ""rank"": 5}, ""random"": {""suggestion"": ""a self-evolving framework"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""forensic linguistics"", ""k"": ""1"", ""rank"": 2}}",,2
1-23261_dcdf3bfd-5fb5-4416-bf14-0992a328cd59,annotator1,663acfb9-7c58-43e1-b0c6-7b5acca2b14d,"Modern Large Language Models (LLMs) exhibit a performance gap in basic tasks like relation and event extraction, primarily due to the imprecision of existing evaluation metrics and the incompleteness of evaluation benchmarks caused by restrictive human annotation schemas. These issues lead to an underestimation of LLM performances and highlight the need for improved evaluation methods that can better assess semantic consistency and address benchmark limitations.","In this context, what would be a good source of inspiration for **Evaluation of large language models**?",the principles in subjective question correction,"{""gpt-4o"": {""suggestion"": ""human cognitive evaluation"", ""k"": ""1"", ""rank"": 3}, ""mpnet_zero"": {""suggestion"": ""the success of large language models in NLP"", ""k"": ""1"", ""rank"": 1}, ""sciIE"": {""suggestion"": ""fine-tuned large language models (LLMs)"", ""k"": ""1"", ""rank"": 2}, ""positive"": {""suggestion"": ""the principles in subjective question correction"", ""k"": ""1"", ""rank"": 6}, ""ours"": {""suggestion"": ""human evaluation"", ""k"": ""1"", ""rank"": 4}, ""random"": {""suggestion"": ""human flexibility and reasoning"", ""k"": ""1"", ""rank"": 5}}",,4
1-30440_f6e4517a-c74e-4884-92e4-b6df15fcb40b,annotator1,663acfb9-7c58-43e1-b0c6-7b5acca2b14d,"Large Language Models (LLMs) face challenges due to their overreliance on potentially flawed parametric knowledge, leading to hallucinations and inaccuracies, especially with long-tail, domain-specific queries. Additionally, the presence of noisy and irrelevant information in retrieved long-context documents can dilute LLMs' attention, highlighting the need for improved methods to enhance their contextual awareness and robustness.","In this context, what would be a good source of inspiration for **Improve the robustness and contextual awareness of large language models**?",the supportive role of essential concepts in individuals' reading comprehension,"{""random"": {""suggestion"": ""patient monitoring"", ""k"": ""1"", ""rank"": 6}, ""gpt-4o"": {""suggestion"": ""human cognitive processes"", ""k"": ""1"", ""rank"": 3}, ""ours"": {""suggestion"": ""the fusion between distribution of large language models knowledge and distribution of retrieved texts"", ""k"": ""1"", ""rank"": 2}, ""mpnet_zero"": {""suggestion"": ""the problem faced by Large Language Models"", ""k"": ""1"", ""rank"": 4}, ""sciIE"": {""suggestion"": ""Large-Language model (LLM)"", ""k"": ""1"", ""rank"": 5}, ""positive"": {""suggestion"": ""the supportive role of essential concepts in individuals' reading comprehension"", ""k"": ""1"", ""rank"": 1}}",,3
